year,branch_code,sessions
2014,WY,37747
2014,YO,32850
2014,YW,185228
2015,AB,142187
2015,ACD,145984
2015,AD,16700
2015,AG,158536
2015,AH,11013
2015,AN,34038
2015,AP,16300
2015,BB,19700
2015,BC,24413
2015,BD,21100
2015,BE,48525
2015,BF,131127
2015,BL,179859
2015,BR,84937
2015,BRW,41463
2015,BUR,28463
2015,CC,18638
2015,CE,27188
2015,CED,243984
2015,CH,29788
2015,CL,477283
2015,CS,21188
2015,DA,37125
2015,DM,86525
2015,DO,109770
2015,DP,60138
2015,DR,43475
2015,DT,6688
2015,DU,54700
2015,EA,46633
2015,EB,6850
2015,EG,34325
2015,EN,19505
2015,ES,37650
2015,FH,21600
2015,FO,49513
2015,FP,50388
2015,FV,232297
2015,GE,25863
2015,GHP,49572
2015,GW,12600
2015,HB,8725
2015,HC,21838
2015,HIL,31550
2015,HP,43475
2015,HS,27700
2015,HW,21575
2015,JD,64375
2015,JO,25888
2015,JS,48325
2015,KE,37925
2015,LB,25550
2015,LE,25913
2015,LO,42075
2015,LS,176522
2015,MA,35975
2015,MAL,170307
2015,MAS,135937
2015,MCG,42142
2015,MD,55913
2015,MI,21475
2015,MP,6138
2015,MRV,32938
2015,MS,42363
2015,ND,112235
2015,NE,11325
2015,NT,22853
2015,OV,37863
2015,PA,75404
2015,PE,8113
2015,PK,127130
2015,PL,68269
2015,PM,18800
2015,PU,16450
2015,PV,22488
2015,QS,11100
2015,RD,73775
2015,RI,113426
2015,RN,65663
2015,RX,20063
2015,SA,67425
2015,SB,475
2015,SC,27325
2015,SI,13925
2015,SJ,57375
2015,SL,22051
2015,SP,14813
2015,ST,34800
2015,SW,2600
2015,SWS,138960
2015,TA,18588
2015,TH,79150
2015,TOD,5438
2015,TRL,901258
2015,VV,12950
2015,WE,46263
2015,WP,21425
2015,WS,106963
2015,WY,37263
2015,YO,32313
2015,YW,193860
2016,AB,140606
2016,ACD,149712
2016,AD,16338
2016,AG,103406
2016,AH,10988
2016,AN,29238
2016,AP,16563
2016,BB,19713
2016,BC,21763
2016,BD,18088
2016,BE,45825
2016,BF,121863
2016,BL,168193
2016,BR,84596
2016,BRW,40138
2016,BUR,24950
2016,CC,19413
2016,CE,28213
2016,CED,249984
2016,CH,30938
2016,CL,433079
2016,CS,21813
2016,DA,37150
2016,DM,88066
2016,DO,113701
2016,DP,59513
2016,DR,46688
2016,DT,6113
2016,DU,51225
2016,EA,45770
2016,EB,7325
2016,EG,30325
2016,EN,23800
2016,ES,18675
2016,FH,20350
2016,FO,48088
2016,FP,49910
2016,FV,224402
2016,GE,23825
2016,GHP,45802
2016,GW,12000
2016,HB,8825
2016,HC,19238
2016,HIL,29013
2016,HP,39725
2016,HS,21488
2016,HW,18000
2016,JD,64400
2016,JO,23288
2016,JS,47725
2016,KE,36150
2016,LB,24788
2016,LE,24488
2016,LO,47125
2016,LS,165859
2016,MA,35813
2016,MAL,167069
2016,MAS,142462
2016,MCG,37741
2016,MD,55175
2016,MI,23175
2016,MP,6250
2016,MRV,34313
2016,MS,41988
2016,ND,117080
2016,NE,11488
2016,NT,22585
2016,OV,37238
2016,PA,74158
2016,PE,7863
2016,PK,125610
2016,PL,69344
2016,PM,19938
2016,PU,16613
2016,PV,22363
2016,QS,11850
2016,RD,70700
2016,RI,107685
2016,RN,63363
2016,RX,19550
2016,SA,62700
2016,SB,550
2016,SC,52375
2016,SI,13838
2016,SJ,56575
2016,SL,23779
2016,SP,13988
2016,ST,34700
2016,SW,2125
2016,SWS,114635
2016,TA,14738
2016,TH,76875
2016,TOD,4263
2016,TRL,917498
2016,VV,12638
2016,WE,41188
2016,WP,24763
2016,WS,101650
2016,WY,36875
2016,YO,29425
2016,YW,172467
2017,AB,137999
2017,ACD,150308
2017,AD,15213
2017,AG,134675
2017,AH,11225
2017,AN,37370
2017,AP,7439
2017,BB,16113
2017,BC,19913
2017,BD,18675
2017,BE,40875
2017,BF,132868
2017,BL,171813
2017,BR,86113
2017,BRW,43341
2017,BUR,20938
2017,CC,16188
2017,CE,35950
2017,CED,197151
2017,CH,33700
2017,CS,20363
2017,DA,36600
2017,DM,90243
2017,DO,99707
2017,DP,54350
2017,DR,45450
2017,DT,6100
2017,DU,49488
2017,EA,43683
2017,EB,7175
2017,EG,25888
2017,EN,29604
2017,ES,24088
2017,FH,21500
2017,FO,47162
2017,FP,39266
2017,FV,215656
2017,GE,24038
2017,GHP,39670
2017,GW,11088
2017,HB,8038
2017,HC,19175
2017,HIL,27575
2017,HP,41913
2017,HS,7225
2017,HW,16050
2017,JD,63875
2017,JO,21488
2017,JS,39475
2017,KE,39175
2017,LB,19427
2017,LE,25313
2017,LO,46140
2017,LS,111803
2017,MA,32700
2017,MAL,158550
2017,MAS,121564
2017,MCG,36807
2017,MD,53466
2017,MI,24663
2017,MP,5738
2017,MRV,33900
2017,MS,39488
2017,ND,120673
2017,NE,10788
2017,NT,23478
2017,OV,33188
2017,PA,59407
2017,PE,8425
2017,PK,122844
2017,PL,66423
2017,PM,23100
2017,PU,12475
2017,PV,17593
2017,QS,10863
2017,RD,71813
2017,RI,82853
2017,RN,38557
2017,RX,17963
2017,SA,66513
2017,SB,463
2017,SC,63474
2017,SI,9487
2017,SJ,58200
2017,SL,23888
2017,SP,13775
2017,ST,31163
2017,SW,5525
2017,SWS,119109
2017,TA,13329
2017,TH,71175
2017,TOD,4375
2017,TRL,867212
2017,VV,12050
2017,WE,37813
2017,WP,23938
2017,WS,97263
2017,WY,36463
2017,YO,29238
2017,YW,157821
2018,AB,111939
2018,ACD,82784
2018,AD,12162
2018,AG,112149
2018,AH,9753
2018,AN,21239
2018,AP,13010
2018,BB,16333
2018,BC,24989
2018,BD,14323
2018,BE,31292
2018,BF,76409
2018,BL,128177
2018,BR,57702
2018,BRW,51202
2018,BUR,16232
2018,CC,14475
2018,CE,26974
2018,CED,133544
2018,CH,50205
2018,CL,121507
2018,CS,21914
2018,DA,40326
2018,DM,61911
2018,DO,72517
2018,DP,65983
2018,DR,30300
2018,DT,4008
2018,DU,42709
2018,EA,41801
2018,EB,5700
2018,EG,13481
2018,EN,26289
2018,ES,55733
2018,FH,14583
2018,FO,37264
2018,FP,29894
2018,FV,130320
2018,GE,16717
2018,GHP,30554
2018,GW,9772
2018,HB,6015
2018,HC,16657
2018,HIL,16987
2018,HP,32396
2018,HS,10281
2018,HW,10942
2018,JD,43864
2018,JO,18622
2018,JS,23749
2018,KE,29139
2018,LB,14458
2018,LE,20752
2018,LO,40048
2018,LS,108743
2018,MA,26001
2018,MAL,83951
2018,MAS,81688
2018,MCG,30641
2018,MD,36451
2018,MI,15725
2018,MP,6809
2018,MRV,34992
2018,MS,30116
2018,ND,104897
2018,NE,13858
2018,NT,15193
2018,OV,21743
2018,PA,60571
2018,PE,5775
2018,PK,103625
2018,PL,62072
2018,PM,23629
2018,PU,10086
2018,PV,13400
2018,QS,13869
2018,RD,45729
2018,RI,71177
2018,RN,68987
2018,RX,11519
2018,SA,52512
2018,SB,631
2018,SC,45256
2018,SJ,51621
2018,SL,24264
2018,SP,15469
2018,ST,14624
2018,SW,1443
2018,SWS,64722
2018,TA,8594
2018,TH,50333
2018,TOD,3450
2018,TRL,428446
2018,VV,9463
2018,WE,26060
2018,WP,13555
2018,WS,75752
2018,WY,16140
2018,YO,22390
2018,YW,93349
2019,AB,105936
2019,ACD,54592
2019,AD,10518
2019,AG,110006
2019,AH,9414
2019,AN,20898
2019,AP,13549
2019,BB,16706
2019,BC,25777
2019,BD,13281
2019,BE,26353
2019,BF,66397
2019,BL,119884
2019,BR,51475
2019,BRW,47541
2019,BUR,17393
2019,CC,14182
2019,CE,21971
2019,CED,124808
2019,CH,47505
2019,CL,227153
2019,CS,21432
2019,DA,36170
2019,DM,46052
2019,DO,43740
2019,DP,61486
2019,DR,29528
2019,DT,4311
2019,DU,40379
2019,EA,38638
2019,EB,5383
2019,EG,12828
2019,EN,20341
2019,ES,55205
2019,FH,17319
2019,FO,38890
2019,FP,29562
2019,FV,132363
2019,GE,16283
2019,GHP,28864
2019,GW,3327
2019,HB,6809
2019,HC,15568
2019,HIL,15515
2019,HP,33287
2019,HS,11207
2019,HW,10952
2019,JD,41567
2019,JO,14749
2019,JS,25099
2019,KE,27027
2019,LB,13628
2019,LE,21315
2019,LO,36896
2019,LS,91815
2019,MA,23379
2019,MAL,79554
2019,MAS,79476
2019,MCG,29609
2019,MD,31430
2019,MI,12713
2019,MP,5368
2019,MRV,32754
2019,MS,29277
2019,ND,92396
2019,NE,12233
2019,NT,13824
2019,OV,19498
2019,PA,49103
2019,PE,5480
2019,PK,53495
2019,PL,28959
2019,PM,21569
2019,PU,8556
2019,PV,13878
2019,QS,10704
2019,RD,44200
2019,RI,71343
2019,RN,67083
2019,RX,10536
2019,SA,53178
2019,SB,546
2019,SC,43849
2019,SI,1473
2019,SJ,58962
2019,SL,27347
2019,SP,14116
2019,ST,36129
2019,SW,2707
2019,SWS,58495
2019,TA,8422
2019,TH,42950
2019,TOD,3749
2019,TRL,390307
2019,VV,9070
2019,WE,26812
2019,WP,14657
2019,WS,72288
2019,YO,21130
2019,YW,62065
2020,AB,26076
2020,AD,1892
2020,AG,25441
2020,AH,1811
2020,AN,5746
2020,AP,4251
2020,BB,4129
2020,BC,5912
2020,BD,3706
2020,BE,7102
2020,BF,18233
2020,BL,31570
2020,BR,14194
2020,BRW,10115
2020,BUR,2989
2020,CC,2888
2020,CE,4810
2020,CED,35952
2020,CH,8603
2020,CL,62120
2020,CS,4090
2020,DA,9723
2020,DM,13816
2020,DO,11773
2020,DP,15121
2020,DR,7374
2020,DT,922
2020,DU,8753
2020,EA,10679
2020,EB,852
2020,EG,3408
2020,EN,4497
2020,ES,12119
2020,FH,4598
2020,FO,7407
2020,FP,6271
2020,FV,32314
2020,GE,3739
2020,GHP,6205
2020,GW,2225
2020,HB,1232
2020,HC,4426
2020,HIL,3582
2020,HP,7341
2020,HS,3415
2020,HW,2229
2020,JD,11692
2020,JO,3568
2020,JS,7509
2020,KE,7709
2020,LB,2755
2020,LE,5065
2020,LO,8879
2020,LS,26622
2020,MA,7986
2020,MAL,20033
2020,MAS,19854
2020,MCG,7509
2020,MD,8491
2020,MI,3871
2020,MP,1040
2020,MRV,5973
2020,MS,6127
2020,ND,26221
2020,NE,3650
2020,NT,3370
2020,OV,4420
2020,PA,11283
2020,PE,1099
2020,PK,24647
2020,PL,15114
2020,PM,5166
2020,PU,1732
2020,PV,3843
2020,QS,2064
2020,RD,10683
2020,RI,20928
2020,RN,16323
2020,RX,2595
2020,SA,12650
2020,SB,144
2020,SC,12080
2020,SI,1390
2020,SJ,9389
2020,SL,7287
2020,SP,2867
2020,ST,7465
2020,SW,607
2020,SWS,14360
2020,TA,2360
2020,TH,11491
2020,TOD,754
2020,TRL,113637
2020,VV,1886
2020,WE,7825
2020,WP,3980
2020,WS,13434
2020,YO,4700
2020,YW,8832
2021,AB,14154
2021,AD,504
2021,AG,10508
2021,AH,1044
2021,AN,3349
2021,AP,1588
2021,BB,1970
2021,BC,2747
2021,BD,1597
2021,BE,3402
2021,BF,8645
2021,BL,15125
2021,BR,6654
2021,BRW,4211
2021,BUR,711
2021,CC,1223
2021,CE,2658
2021,CED,15494
2021,CL,29480
2021,CS,1019
2021,DA,4674
2021,DM,5654
2021,DO,9331
2021,DP,6770
2021,DR,3048
2021,DU,3707
2021,EA,4215
2021,EB,341
2021,EG,1548
2021,EN,2518
2021,ES,4067
2021,FH,1936
2021,FO,3854
2021,FP,2479
2021,FV,15276
2021,GE,1867
2021,GHP,2695
2021,GW,758
2021,HB,449
2021,HC,1542
2021,HIL,1284
2021,HP,3409
2021,HS,982
2021,HW,909
2021,JD,5875
2021,JO,1385
2021,JS,3224
2021,KE,5727
2021,LB,915
2021,LE,2526
2021,LO,3700
2021,LS,14526
2021,MA,4891
2021,MAL,7303
2021,MAS,7608
2021,MCG,2602
2021,MD,3898
2021,MI,1652
2021,MRV,2661
2021,MS,2324
2021,ND,14308
2021,NE,1480
2021,NT,1608
2021,OV,1934
2021,PA,3053
2021,PE,274
2021,PK,13675
2021,PL,5033
2021,PM,1523
2021,PU,469
2021,PV,1565
2021,QS,529
2021,RD,4799
2021,RI,9403
2021,RN,8291
2021,RX,1166
2021,SA,6778
2021,SC,5578
2021,SI,709
2021,SJ,1922
2021,SL,4073
2021,SP,705
2021,ST,2207
2021,SWS,5318
2021,TA,926
2021,TH,5107
2021,TOD,157
2021,TRL,49391
2021,VV,938
2021,WE,4390
2021,WP,1409
2021,WS,5878
2021,YO,1929
2021,YW,3571
2022,AB,44967
2022,ACD,14030
2022,AD,2587
2022,AG,35212
2022,AH,1852
2022,AN,6485
2022,AP,5981
2022,BB,6340
2022,BC,9480
2022,BD,5019
2022,BE,9254
2022,BF,21799
2022,BL,48813
2022,BR,20232
2022,BRW,17132
2022,BUR,4884
2022,CC,6156
2022,CE,9196
2022,CED,43222
2022,CH,11020
2022,CL,87439
2022,CS,6025
2022,DA,15464
2022,DM,17395
2022,DO,31542
2022,DP,22943
2022,DR,8493
2022,DT,1010
2022,DU,10777
2022,EA,14964
2022,EB,1137
2022,EG,3613
2022,EN,8193
2022,ES,18279
2022,FH,6495
2022,FO,14731
2022,FP,9928
2022,FV,46018
2022,GE,3697
2022,GHP,6531
2022,GW,2700
2022,HB,2728
2022,HC,3568
2022,HIL,3144
2022,HP,9156
2022,HS,3551
2022,HW,2807
2022,JD,17688
2022,JO,3350
2022,JS,10134
2022,KE,17130
2022,LB,4649
2022,LE,6381
2022,LO,7941
2022,LS,53604
2022,MA,11288
2022,MAL,23708
2022,MAS,24408
2022,MCG,7915
2022,MD,12200
2022,MI,5121
2022,MRV,9766
2022,MS,11739
2022,ND,40022
2022,NE,4798
2022,NT,5557
2022,OV,5348
2022,PA,14645
2022,PE,1690
2022,PK,43158
2022,PL,26672
2022,PM,6610
2022,PU,2287
2022,PV,3536
2022,QS,4032
2022,RD,16743
2022,RI,25414
2022,RN,28534
2022,RX,3016
2022,SA,17522
2022,SC,21266
2022,SI,2182
2022,SJ,14698
2022,SL,9443
2022,SP,5208
2022,ST,8960
2022,SW,540
2022,SWS,16305
2022,TA,2401
2022,TH,16651
2022,TOD,1220
2022,TRL,136640
2022,VV,2572
2022,WE,14837
2022,WP,4115
2022,WS,21028
2022,WY,3836
2022,YO,8755
2022,YW,16088
